a	một cái, một con 
aback	lùi lại   
abacus	bàn tính   
abaddon	địa ngục   
abalone	bào ngư   
abandon	bỏ rơi   
abase	làm nhục   
abasement	sự làm nhục  
abash	làm bối rối  
abashment	sự bối rối  
abask	dưới ánh nắng  
abatable	có thể làm dịu 
abate	làm dịu đi  
abatement	sự dịu đi  
abatis	đống cây chướng ngại 
abattoir	lò mổ, lò sát sinh
abb	sợi canh   
abbacy	trưởng tu viện  
abbess	bà trưởng tu viện 
abbey	tu viện   
abbot	cha trưởng tu viện 
abbreviate	tóm tắt   
abbreviated	ngắn cũn cỡn  
abbreviation	chữ viết tắt  
abbreviator	người tóm tắt  
abdicant	người thoái vị  
abdicate	từ bỏ   
abdomen	bụng    
abdominous	phệ bụng   
abducent	rẽ ra   
abduction	sự bắt đi  
abecedarian	sơ đẳng   
abed	ở trên giường  
abele	cây bạch dương  
abelmosk	cây vông vàng  
aberrant	lầm lạc   
abet	xúi bẩy   
abetment	sự xúi giục  
abette	kẻ tiếp tay  
abeyant	tạm thời đình chỉ 
abhor	ghê tởm   
abhorrence	sự ghê tởm  
abidance	sự tuân theo  
abide	tồn tại   
abigail	thị tỳ   
ability	năng lực   
abiogenesis	sự phát sinh tự nhiên
abiological	phi sinh vật học 
abiotic	vô sinh   
abject	hèn hạ   
abjection	sự hèn hạ  
abjectness	sự khốn khổ  
abjuration	sự thề bỏ  
abjure	tuyên bố bỏ  
ablactation	sự cai sữa  
ablate	cắt bỏ   
ablaze	rực cháy   
able	có năng lực  
able-bodied	khoẻ mạnh   
abloom	đang nở   
abluent	rửa sạch   
ablush	thẹn đỏ mặt  
ablution	lễ rửa tội  
abnegate	nhịn    
abnormal	không bình thường  
abnormalcy	vật kỳ quái  
aboard	trên tàu   
abode	nơi ở   
aboil	đang sôi   
abolish	thủ tiêu   
abort	sẩy thai   
aborticide	thuốc tránh thai  
abortifacient	phá thai   
abortive	đẻ non   
abound	có rất nhiều  
about	khoảng chừng   
about-face	sự trở mặt  
above	ở trên   
above-board	thẳng thắn   
above-ground	ở trên mặt đất 
above-mentioned	kể trên   
abracadabra	câu thần chú  
abradant	mài mòn   
abrade	làm trầy da  
abridge	rút ngắn lại  
abroad	ở nước ngoài  
abrogate	bãi bỏ   
abrupt	đột ngột   
abruption	sự đứt rời  
abruptness	sự bất ngờ  
abscond	lẫn trốn   
absence	sự vắng mặt  
absent	vắng mặt   
absent-minded	lơ đãng   
absent-mindedness	sự lơ đãng  
absentee	người vắng mặt  
absolute	tuyệt đối   
absolutism	sự chuyên chế  
absolve	tha tội   
absonant	không hợp điệu  
absorb	hấp thụ   
absorbed	miệt mài   
abstain	kiêng    
abstemious	tiết chế   
absterge	tẩy    
abstract	trừu tượng   
abstraction	sự trừu tượng  
abstruse	khó hiểu   
absurd	vô lý   
absurdity	sự vô lý  
abulia	chứng mất ý chí 
abundance	sự nhiều   
abundant	phong phú   
abuse	sự lạm dụng  
abutment	giới hạn   
abysmal	thăm thẳm   
abyss	vực sâu   
academic	có tính chất học thuật
academician	viện sĩ   
academy	học viện   
acaleph	loài sứa   
accede	đồng ý   
accelerate	gia tốc   
accent	trọng âm   
accept	chấp nhận   
access	lối vào   
accessary	đồ phụ tùng  
accession	sự đến gần  
accessory	đồ thêm vào  
accident	tai nạn   
acclaim	hoan hô   
acclimatation	sự thích nghi khí hậu
acclivity	dốc ngược   
accolade	sự ôm hôn  
accommodate	điều tiết   
accommodating	dễ dãi   
accommodation	sự thích nghi  
accompaniment	vật phụ thuộc  
accompany	đi theo   
accomplice	kẻ tòng phạm  
accomplish	hoàn thành   
accord	sự đồng lòng  
according	theo    
accordionist	người chơi đàn xếp 
accost	gạ gẫm   
accoucheur	người đỡ đẻ  
accoucheuse	nữ hộ sinh  
account	sự tính toán  
accountability	trách nhiệm   
accountancy	nghề kế toán  
accountant	nhân viên kế toán 
accountantship	chức kế toán  
accounting	sự thanh toán  
accoutre	trang bị cho  
accoutrement	bộ áo quần đặc biệt
accrete	cùng phát triển  
accretion	sự lớn dần lên 
accrual	sự dồn lại  
accrue	đổ dồn về ai 
